traj_id,jdt_ref,utc,shower_no,shower_code,la_sun,lst_ref,ra_g,dec_g,L_g,B_g,v_g,L_h,B_h,v_h,a,e,i,peri,node,pi,b,q,true_anomaly,mean_anomaly,QQ,n,T,Tj,re_norot,dec_norot,azimuth_apparent_norot,elevation_apparent_norot,v_init,v_avg,rbeg_lat,rbeg_lon,rbeg_ele,rend_lat,rend_lon,rend_ele,duration,peak_mag,peak_ht,f_param,mass,Qc,mfe,fov_beg,fov_end,stations_num,Stations
20221023194914_YmlK0,2459876.3258648687,2022-10-23 19:49:14.724656,-1,...,210.07356,345.706843,354.2254,-21.30745,346.03322,-17.22396,11.70406,312.78502,-5.12158,38.81966,3.210598,0.708101,5.249551,30.690431,30.073404,60.763835,2.676594,0.937169,329.309133,356.143815,5.484027,0.171327,5.752803,2.725528,354.53284,-11.34639,169.69053,32.79789,16.18536,15.79921,45.2973,16.188774,88.8677,45.40056,16.162065,81.2621,0.88,1.5,84.4133,0.586,0.00018,74.41,54.48,1,1,2,"HR000G,HR0025"
20221023194925_NNd3B,2459876.3259887127,2022-10-23 19:49:25.424819,-1,...,210.073683,345.360177,21.75724,32.2332,32.46506,21.38579,22.7888,336.78894,12.91091,37.19233,2.217769,0.73509,15.958585,268.084972,210.073026,118.157998,-15.949434,0.587509,271.915109,346.451718,3.848029,0.298421,3.302746,3.197663,21.24476,33.0537,102.34411,59.80677,25.51395,23.76857,45.861506,15.797914,88.0425,45.868741,15.750428,81.4875,0.32,-0.75,85.2654,0.424,0.000261,75.19,63.01,1,1,2,"HR000G,HR0025"
20221023195758_3udAb,2459876.331923668,2022-10-23 19:57:58.204899,-1,...,210.079595,335.570061,92.87325,43.22785,92.2249,19.81234,62.22318,68.17361,30.81811,41.16655,10.012071,0.947315,135.963859,268.038528,210.07882,118.117348,-44.003689,0.52749,271.961172,358.766291,19.496652,0.031111,31.680098,-0.118971,92.59938,43.57005,43.17367,19.39237,63.39569,62.81157,51.299925,3.864871,109.4046,51.165157,3.663975,102.0937,0.36,0.74,106.2143,0.436,8.05e-06,22.3,37.1,1,1,5,"BE0005,BE0008,BE000B,BE000C,BE000G"
20221023200023_Bj6Pw,2459876.333601626,2022-10-23 20:00:23.180495,-1,...,210.081266,336.932557,286.74829,-25.62203,285.08201,-3.05693,6.60686,298.13241,-0.5551,36.34112,1.917643,0.482091,0.555419,354.02715,30.06156,24.08871,-0.057794,0.993165,5.992022,1.836673,2.842121,0.371153,2.655537,3.777486,299.11319,-4.81584,222.47335,25.19452,12.75724,11.58815,51.381463,4.621058,75.5532,51.493957,4.785894,67.4453,1.57,0.96,75.3319,0.027,0.00092,69.31,93.17,0,1,2,"BE0006,NL000K"
20221023200115_7vjkp,2459876.3342052046,2022-10-23 20:01:15.329679,-1,...,210.081867,353.561085,22.68485,47.31059,40.39328,34.77721,31.72141,346.00071,26.46786,40.59659,6.561958,0.914133,35.590907,264.727064,210.081075,114.808139,-35.417566,0.563457,275.27329,357.640993,12.560459,0.058635,16.809346,1.533486,22.90132,47.18423,67.2945,68.83846,33.72369,33.56266,42.574861,21.032108,94.7063,42.555005,20.967947,79.7737,0.48,-1.4,85.5852,0.611,0.000384,60.75,46.38,1,1,2,"BG0003,GR0002"
20221023200157_jiqb9,2459876.3346979967,2022-10-23 20:01:57.906958,557,SFD,210.082358,355.09486,303.46533,60.95321,354.90061,74.40729,25.14419,310.12971,35.17309,42.04343,56.776762,0.982836,35.59119,196.542754,210.081469,46.624223,-9.538639,0.97453,343.45771,359.973213,112.578994,0.002304,427.815554,1.082684,307.87357,61.2086,321.64472,55.27262,27.35885,26.93099,41.006162,22.388157,96.082,40.934611,22.462699,81.2883,0.68,-0.31,85.8828,0.689,0.00031,16.61,48.39,1,1,2,"BG0003,GR0002"
20221023200343_G5zlQ,2459876.3359187585,2022-10-23 20:03:43.380737,-1,...,210.083574,338.385581,358.58007,32.16953,12.81756,29.79118,16.65968,322.72154,12.57903,38.00726,2.61892,0.686575,13.591541,235.238981,210.083654,85.322635,-11.131424,0.820834,304.760365,351.465261,4.417006,0.232553,4.238225,2.989821,358.49587,33.7586,130.50708,67.91617,20.10773,19.76738,50.206986,5.238026,95.1387,50.233087,5.190367,83.9727,0.6,1.36,86.3314,0.789,8.86e-05,80.77,49.9,1,1,2,"BE0007,BE000E"
20221023201142_UJnk9,2459876.3414605847,2022-10-23 20:11:42.194555,-1,...,210.089094,358.277412,30.55587,-4.1467,26.938,-15.54667,23.77857,336.89053,-9.28732,39.48907,3.962344,0.845187,11.542537,80.62645,30.090166,110.716617,11.386339,0.613422,279.372016,354.831481,7.311265,0.124961,7.887309,2.227286,30.14336,-1.68671,137.73156,38.31919,26.42884,25.93111,41.132063,23.129183,98.8177,41.30552,22.91984,78.0154,1.29,-0.96,84.4219,0.692,0.000851,56.67,81.09,1,1,2,"BG0003,GR0002"
20221023201219_knT5e,2459876.341890197,2022-10-23 20:12:19.313002,-1,...,210.089521,339.560027,317.58704,30.77063,332.64345,44.41869,7.57225,305.68739,8.69162,35.0726,1.603614,0.389913,8.732621,199.852175,210.08996,49.942135,-2.955393,0.978344,340.146856,351.884483,2.228884,0.48535,2.030722,4.255812,323.09448,35.72041,224.65503,70.88824,13.38346,12.64571,50.711841,4.257105,78.6397,50.717177,4.265364,76.2022,0.2,2.98,77.5761,0.436,1.9e-05,29.44,31.54,1,1,2,"BE000B,BE000C"
20221023201749_HTWZA,2459876.3457149253,2022-10-23 20:17:49.769548,388,CTA,210.093331,340.188617,50.74702,28.29276,55.61359,9.41956,42.52033,12.87981,9.83988,40.72224,7.097423,0.984998,30.375,323.088738,210.09305,173.181788,-17.679151,0.106473,216.910986,358.33282,14.088372,0.052126,18.908263,1.08098,50.41821,28.88251,84.52129,34.12852,44.19565,42.42319,50.465762,3.505262,91.9774,50.456874,3.36144,84.9426,0.31,-0.79,87.3883,0.652,9.34e-05,85.92,38.27,1,1,8,"BE0003,BE0005,BE0008,BE000B,BE000C,BE000D,BE000E,BE000G"
